5770430	Ozzy	2016	90	Adventure,Animation,Comedy	[739423, 3657043, 1239566, 1043338]	[3384529, 4385418]	5.2	1397
265459	One Hour Photo	2002	96	Drama,Thriller	[245, 1567, 890232, 808057]	[738796]	6.8	104369
175317	Walking Across Egypt	1999	100	Comedy,Crime,Drama	[1454433, 995, 1662, 434]	[782381]	7.2	1080
1051904	Goosebumps	2015	103	Adventure,Comedy,Family	[85312, 1910255, 3843467, 2619114]	[1224299]	6.3	64179
6294822	The Post	2017	116	Biography,Drama,History	[658, 158, 5299, 644022]	[229]	7.2	67488
1051981	Another Gay Sequel: Gays Gone Wild!	2008	99	Comedy,Romance	[88098, 1752190, 2829975, 2071929]	[827171]	4.0	2724
6294892	Awakening the Zodiac	2017	100	Crime,Drama,Mystery	[922342, 4753, 2023, 132757]	[942527]	4.8	1116
265591	Pumpkin	2002	113	Comedy,Drama,Romance	[207, 364744, 950, 663]	[9159, 110791]	6.2	7897
5770620	The Lovers	2017	97	Comedy,Drama,Romance	[700, 504832, 318821, 1828]	[414337]	6.1	2180
1314177	Damage	2009	102	Action,Drama	[42524, 324658, 888882, 722413]	[454835]	5.8	6361
1052040	Seventh Moon	2008	87	Horror,Thriller	[5442, 150862, 1977583]	[844896]	4.7	2517
2362778	Saheb Biwi Aur Gangster Returns	2013	142	Action,Crime,Drama	[792116, 2977124, 451234, 44796]	[223606]	6.9	3284
4413338	Abzurdah	2015	89	Biography,Drama,Romance	[1421927, 1394133, 139910, 1041596]	[7094737]	5.4	1168
265632	Recess: School's Out	2001	82	Animation,Comedy,Family	[492620, 172636, 204771, 424534]	[790746]	6.6	7857
265651	Ripley's Game	2002	110	Crime,Drama,Mystery	[518, 779084, 372176, 935653]	[146960]	6.6	15814
1314228	Did You Hear About the Morgans?	2009	103	Comedy,Drama,Romance	[424, 572, 385, 5253]	[492909]	4.8	32583
1838520	The Truth About Emanuel	2013	95	Drama,Thriller	[2546012, 4754, 640323, 2902567]	[1036527]	6.0	7602
265662	The Rookie	2002	127	Drama,Family,Sport	[598, 263625, 341737, 379596]	[359387]	7.0	28737
265666	The Royal Tenenbaums	2001	110	Comedy,Drama	[432, 569, 1378, 1774]	[27572]	7.6	233451
1838544	Gone	2012	94	Drama,Mystery,Thriller	[1086543, 1358539, 4747, 839326]	[1104944]	5.9	37520
1314280	Welcome	2009	110	Drama	[512071, 3177137, 199047, 3183101]	[513371]	7.6	6500
265709	Scenes of the Crime	2001	91	Action,Drama,Thriller	[313, 9016, 388, 749]	[286322]	5.8	1665
265713	Scotland, Pa.	2001	104	Comedy,Crime	[1457, 5491, 686, 180984]	[607365]	6.8	4008
3411444	Ferdinand	2017	108	Adventure,Animation,Comedy	[1078479, 571952, 134072, 5375420]	[757858]	6.7	24575
265730	Sethu	1999	130	Drama,Romance	[1417314, 1414830, 1107894, 1417060]	[1220246]	8.2	1894
1748227	The Collection	2012	82	Horror,Thriller	[1577637, 3500747, 1520, 1313581]	[1729303]	6.1	40064
1838618	Paranormal Xperience 3D	2011	90	Horror,Thriller	[2319146, 1224068, 2157531, 2216549]	[2293027]	3.7	1148
265808	Stealing Harvard	2002	85	Comedy,Crime	[5134, 338381, 5182, 5259]	[567126]	5.1	11672
874425	Pretty Ugly People	2008	99	Comedy	[701512, 565250, 837942, 507629]	[853238]	5.0	1689
265859	Tempted	2001	95	Thriller	[4787, 608, 823563, 990415]	[71611]	5.5	1181
2887322	The Saratov Approach	2013	107	Action,Drama,Thriller	[21607, 1656974, 3223614, 891514]	[1271233]	5.6	1879
2363047	22 Female Kottayam	2012	120	Crime,Drama,Romance	[5444787, 3634501, 1335704, 693092]	[3351235]	7.4	1569
1748260	Tiger Eyes	2012	92	Drama	[1473267, 5057, 326074, 3646050]	[89756]	6.4	1723
2363219	Het Bombardement	2012	105	Drama,History,War	[1581655, 3455204, 2602298, 376826]	[429517]	3.9	1481
1314655	Devil	2010	80	Horror,Mystery,Thriller	[582149, 223518, 940158, 1334869]	[235719]	6.2	116251
2363439	The Frozen	2012	95	Drama,Thriller	[5601437, 2252967, 2694584, 781913]	[1358366]	4.4	1578
790590	Botched	2007	95	Comedy,Horror	[372418, 810770, 1151, 675730]	[1242171]	5.8	5870
790602	Nitro	2007	105	Action,Drama,Thriller	[501168, 491426, 1042939, 98928]	[221662]	5.5	1646
2101341	Dead Man Down	2013	118	Action,Crime,Drama	[268199, 636426, 1002641, 5024]	[649117]	6.5	59277
790627	Brief Interviews with Hideous Men	2009	80	Comedy,Drama	[629855, 791570, 459, 148964]	[1024677]	5.6	3088
790628	The Incredible Burt Wonderstone	2013	100	Adventure,Comedy,Fantasy	[136797, 3769935, 114, 3303074]	[769135]	5.9	65184
1577061	Recep Ivedik 3	2010	95	Comedy	[2201881, 3508522, 4788212, 7410305]	[2204103]	4.0	14615
790636	Dallas Buyers Club	2013	117	Biography,Drama	[190, 4950, 1467, 1872]	[885249]	8.0	378496
790657	Everybody Wants to Be Italian	2007	105	Comedy,Romance	[1579091, 898597, 438127, 4897]	[1118463]	5.9	1638
790662	Fingerprints	2006	95	Horror,Mystery,Thriller	[1343254, 1738059, 1259068, 492620]	[59835]	5.0	2306
790663	The First Grader	2010	103	Biography,Drama,Romance	[365140, 514411, 450961, 3662123]	[149491]	7.5	3837
790665	Flood	2007	110	Action,Drama,Thriller	[1015, 319698, 183822, 695]	[1491603]	4.8	5632
790676	The Good Life	2007	90	Comedy,Drama	[916406, 221046, 1765, 200]	[77284]	6.5	1788
266391	The Cat's Meow	2001	114	Drama,Romance	[379, 144, 1346, 412850]	[953]	6.4	7174
790686	Mirrors	2008	110	Horror,Mystery	[662, 1745736, 5442, 2624602]	[14960]	6.2	93659
1486192	The Raven	2012	110	Crime,Mystery,Thriller	[131, 1404408, 1812656, 322407]	[574625]	6.4	77650
790712	The Messenger	2009	113	Drama,Romance,War	[4936, 608090, 437, 540441]	[610219]	7.1	31478
790721	Normal Adolescent Behavior	2007	93	Drama,Romance	[848554, 1525948, 307726, 754512]	[769541]	5.4	2282
790723	Just Add Water	2008	95	Comedy,Romance	[909620, 1706767, 519043, 362]	[952]	5.7	2732
790724	Jack Reacher	2012	130	Action,Crime,Mystery	[129, 683253, 420955, 1348]	[3160]	7.0	265816
790736	R.I.P.D.	2013	96	Action,Adventure,Comedy	[5351, 313, 571, 102]	[777881]	5.6	103046
219171	Ripley Under Ground	2005	101	Crime,Drama,Thriller	[1608, 57150, 1324, 1231]	[6854]	6.1	2110
266465	A Man Apart	2003	109	Action,Crime,Drama	[4874, 648249, 5478, 798316]	[336620]	6.1	41088
790769	Kurt Cobain About a Son	2006	96	Documentary,Music	[7551589]	[1099970]	7.4	3268
266489	Duplex	2003	89	Comedy	[1774, 106, 1169742, 1213]	[362]	5.9	50093
790799	$9.99	2008	78	Animation,Drama,Fantasy	[1691, 1439, 426170, 653222]	[1038127]	6.8	2918
2625810	Into the Forest	2015	101	Drama,Sci-Fi,Thriller	[680983, 939697, 1540404, 719678]	[5390]	5.9	13302
790804	The Comebacks	2007	84	Comedy,Sport	[462712, 722647, 1835, 2124]	[103744]	4.2	10427
266543	Finding Nemo	2003	100	Adventure,Animation,Comedy	[983, 1122, 1071252, 353]	[4056, 881279]	8.1	808825
1839482	Free Ride	2013	86	Action,Drama,Thriller	[1593, 1882929, 3732165, 5576]	[79496]	5.6	1809
1839492	Ruby Sparks	2012	104	Comedy,Drama,Fantasy	[200452, 1443740, 906, 104]	[206760, 267512]	7.2	87629
266697	Kill Bill: Vol. 1	2003	111	Action,Crime,Thriller	[235, 1016, 435, 514]	[233]	8.1	844992
5420886	Walking Out	2017	95	Adventure,Drama,Mystery	[93589, 5946818, 597, 2614237]	[807243, 807312]	5.8	3275
1839591	Recoil	2011	94	Action	[42524, 2100657, 1803, 2077124]	[2325744]	5.2	4678
312528	The Cat in the Hat	2003	82	Adventure,Comedy,Family	[196, 107748, 266824, 285]	[919514]	3.8	41228
5112578	Super Dark Times	2017	100	Drama,Thriller	[3338805, 2253071, 4327544, 362955]	[2023590]	6.6	9887
1315350	Cherry	2010	99	Comedy,Drama	[973177, 20751, 1429380, 909768]	[277619]	6.8	3953
481369	The Number 23	2007	98	Mystery,Thriller	[120, 515, 503567, 396812]	[1708]	6.4	178106
1839642	The Face of Love	2013	92	Drama,Mystery,Romance	[906, 438, 245, 1422176]	[1242062]	6.2	4298
1839654	The Magic of Belle Isle	2012	109	Comedy,Drama	[151, 515, 1630992, 3409535]	[1661]	7.0	15351
1315419	The Truth	2010	96	Thriller	[1334, 786639, 1728301, 838]	[1154652]	4.9	1067
1661031	Brindaavanam	2010	169	Action,Comedy,Drama	[1694524, 2570245, 3606487, 695177]	[2449331]	7.2	2839
266915	Rush Hour 2	2001	90	Action,Comedy,Crime	[329, 676, 518821, 955471]	[711840]	6.6	176322
6296236	Running Shaadi	2017	114	Comedy,Romance	[6835030, 3966456, 6117651, 2815326]	[1376310]	7.0	2034
266971	The Slaughter Rule	2002	112	Drama,Sport	[331516, 1556, 245112, 129812]	[807243, 807312]	6.0	2142
266987	Spy Game	2001	126	Action,Crime,Thriller	[602, 93, 1517, 226820]	[1716]	7.1	130115
1053424	Repo Men	2010	111	Action,Crime,Sci-Fi	[179, 1845, 103797, 630]	[764601]	6.3	93236
791304	Georgia Rule	2007	113	Comedy,Drama	[404, 517820, 5031, 551]	[5190]	5.9	22094
